data,mes,grupo,variavel,valor,tabela
2011-01-01,201101,1.Alimentação e bebidas,IPCA - Variação mensal,1.16,2938
2011-02-01,201102,1.Alimentação e bebidas,IPCA - Variação mensal,0.23,2938
2011-03-01,201103,1.Alimentação e bebidas,IPCA - Variação mensal,0.75,2938
2011-04-01,201104,1.Alimentação e bebidas,IPCA - Variação mensal,0.58,2938
2011-05-01,201105,1.Alimentação e bebidas,IPCA - Variação mensal,0.63,2938
2011-06-01,201106,1.Alimentação e bebidas,IPCA - Variação mensal,-0.26,2938
2011-07-01,201107,1.Alimentação e bebidas,IPCA - Variação mensal,-0.34,2938
2011-08-01,201108,1.Alimentação e bebidas,IPCA - Variação mensal,0.72,2938
2011-09-01,201109,1.Alimentação e bebidas,IPCA - Variação mensal,0.64,2938
2011-10-01,201110,1.Alimentação e bebidas,IPCA - Variação mensal,0.56,2938
2011-11-01,201111,1.Alimentação e bebidas,IPCA - Variação mensal,1.08,2938
2011-12-01,201112,1.Alimentação e bebidas,IPCA - Variação mensal,1.23,2938
2012-01-01,201201,1.Alimentação e bebidas,IPCA - Variação mensal,0.86,1419
2012-02-01,201202,1.Alimentação e bebidas,IPCA - Variação mensal,0.19,1419
2012-03-01,201203,1.Alimentação e bebidas,IPCA - Variação mensal,0.25,1419
2012-04-01,201204,1.Alimentação e bebidas,IPCA - Variação mensal,0.51,1419
2012-05-01,201205,1.Alimentação e bebidas,IPCA - Variação mensal,0.73,1419
2012-06-01,201206,1.Alimentação e bebidas,IPCA - Variação mensal,0.68,1419
2012-07-01,201207,1.Alimentação e bebidas,IPCA - Variação mensal,0.91,1419
2012-08-01,201208,1.Alimentação e bebidas,IPCA - Variação mensal,0.88,1419
2012-09-01,201209,1.Alimentação e bebidas,IPCA - Variação mensal,1.26,1419
2012-10-01,201210,1.Alimentação e bebidas,IPCA - Variação mensal,1.36,1419
2012-11-01,201211,1.Alimentação e bebidas,IPCA - Variação mensal,0.79,1419
2012-12-01,201212,1.Alimentação e bebidas,IPCA - Variação mensal,1.03,1419
2013-01-01,201301,1.Alimentação e bebidas,IPCA - Variação mensal,1.99,1419
2013-02-01,201302,1.Alimentação e bebidas,IPCA - Variação mensal,1.45,1419
2013-03-01,201303,1.Alimentação e bebidas,IPCA - Variação mensal,1.14,1419
2013-04-01,201304,1.Alimentação e bebidas,IPCA - Variação mensal,0.96,1419
2013-05-01,201305,1.Alimentação e bebidas,IPCA - Variação mensal,0.31,1419
