mes,data_referencia,ano,mes_num,capital,sigla_uf,capital_bruto,valor,var_mensal,pct_sal,tempo,tempo_em_horas,var_ano,var_12,flag_capital_variante,flag_conflito_capital_mes,flag_diverge_var_mensal,n_capitais_no_mes,periodo_cobertura,tipo_cesta,ipca_grupo,ipca_variavel,ipca_var_mensal_pct,ipca_tabela_sidra,ano_eleitoral_referencia,ano_eleitoral_presidente_referencia,ano_eleitoral_governador_referencia,tse_presidente_nm_candidato,tse_presidente_sg_partido,tse_presidente_nm_partido,tse_presidente_nm_coligacao,tse_governador_nm_candidato,tse_governador_sg_partido,tse_governador_nm_partido,tse_governador_nm_coligacao
200708,2007-08-01,2007,8,Aracaju,SE,Aracaju,150.82,5.48,42.98,87h19m,87.31666666666666,9.6,14.16,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.39,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200709,2007-09-01,2007,9,Aracaju,SE,Aracaju,157.15,4.2,44.78,90h59m,90.98333333333333,14.2,19.93,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.44,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200710,2007-10-01,2007,10,Aracaju,SE,Aracaju,151.42,-3.65,43.15,87h40m,87.66666666666667,10.04,10.56,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.52,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200711,2007-11-01,2007,11,Aracaju,SE,Aracaju,160.1,5.73,45.62,92h41m,92.68333333333334,16.34,10.08,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.73,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200712,2007-12-01,2007,12,Aracaju,SE,Aracaju,171.16,24.38,48.77,99h06m,99.1,,6.91,False,False,True,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,2.06,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200801,2008-01-01,2008,1,Aracaju,SE,Aracaju,168.67,-1.45,48.25,97h39m,97.65,,18.17,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.52,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200802,2008-02-01,2008,2,Aracaju,SE,Aracaju,165.35,-1.97,47.3,95h44m,95.73333333333333,-3.39,16.72,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.6,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200803,2008-03-01,2008,3,Aracaju,SE,Aracaju,168.22,1.74,44.06,89h11m,89.18333333333334,-1.72,12.32,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,0.89,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200804,2008-04-01,2008,4,Aracaju,SE,Aracaju,173.29,3.01,45.39,91h52m,91.86666666666666,1.24,15.18,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.29,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
200805,2008-05-01,2008,5,Aracaju,SE,Aracaju,183.4,5.83,48.04,97h13m,97.21666666666667,7.15,28.71,False,False,False,16,"2005-01 a 2015-12 | 16/18 capitais, ponderação anterior",Cesta Básica de Alimentos - DIEESE,1.Alimentação e bebidas,IPCA - Variação mensal,1.95,2938,2006,2002,2006,LUIZ INACIO LULA DA SILVA,PT,PARTIDO DOS TRABALHADORES,COLIGAÇÃO  LULA PRESIDENTE,MARCELO DÉDA CHAGAS,PT,PARTIDO DOS TRABALHADORES,SERGIPE VAI MUDAR
